epoch_ns	p99_us
1787124869298558169	12156927
1787124869383285426	13729791
1787124869465860789	12165119
1787124869589954577	12328959
1787124869672978917	11534335
1787124869795962776	13942783
1787124869878540856	13942783
1787124869982091241	10633215
1787124870123292201	13910015
1787124870204730511	14008319
1787124870305853332	12287999
1787124870386765102	12673023
1787124870510507047	14221311
1787124870593563978	13606911
1787124870737281876	12902399
1787124870818144925	14041087
1787124870919181278	12918783
1787124871000016732	12189695
1787124871123098986	14032895
1787124871205696666	12591103
1787124871308715725	14008319
1787124871389891335	13000703
1787124871471279804	13737983
1787124871552200777	14278655
1787124871675553028	14196735
1787124871796813038	12222463
1787124871898265899	17121279
1787124871958989995	13746175
1787124872060140194	11706367
1787124872181393072	16736255
1787124872262230952	13402111
1787124872344225792	13950975
1787124872466876985	13557759
1787124872568249771	16564223
1787124872660583023	14123007
1787124872761640192	13729791
1787124872862623668	13869055
1787124872963927392	14049279
1787124873066722878	14458879
1787124873147602643	14106623
1787124873291441017	14204927
1787124873434981482	16424959
1787124873496879596	13942783
1787124873659919537	13910015
1787124873804302903	14491647
1787124873905596554	13950975
1787124874029965430	14630911
1787124874110840389	14196735
1787124874192655660	13918207
1787124874314451801	13828095
1787124874416186232	14385151
1787124874559023359	14508031
1787124874642548311	14376959
1787124874987826627	14475263
1787124875072709976	14163967
1787124875236771554	17203199
1787124875318896848	14319615
1787124875421819489	14819327
1787124875525095298	12468223
1787124875627675119	15163391
1787124875711660094	14811135
1787124875836691617	15081471
1787124875919505407	11485183
1787124876000874939	15155199
1787124876123273485	14647295
1787124876226322536	15368191
1787124876308568575	13254655
1787124876416565676	15212543
1787124876499053363	14286847
1787124876600035657	15392767
1787124876722327089	11255807
1787124876805613011	12894207
1787124876886517452	15597567
1787124877047868699	14434303
1787124877148900703	14852095
1787124877250530874	13434879
1787124877354672087	15695871
1787124877456731628	14827519
1787124877517608713	15556607
1787124877661269469	15663103
1787124877742235471	15073279
1787124877865084770	18415615
1787124877986850974	15187967
1787124878067674851	13344767
1787124878170706350	14974975
1787124878271689512	14442495
1787124878354103177	14483455
1787124878456893327	14688255
1787124878517498359	14721023
1787124878662724690	13099007
1787124878743607546	12075007
1787124878866342848	18644991
1787124878948782266	13246463
1787124879017532974	15089663
1787124879140300956	11485183
1787124879241978234	14647295
1787124879324875970	14901247
1787124879405707241	14630911
1787124879507312169	15048703
1787124879608383404	13606911
1787124879713026746	13639679
1787124879773658059	15245311
1787124879915677563	18956287
1787124879976397779	13869055
1787124880098056151	14630911
1787124880179254049	15491071
1787124880282149449	15491071
1787124880346676937	15613951
1787124880649231236	15843327
1787124880733698338	14352383
1787124880814517638	14319615
1787124880937506274	15835135
1787124881019024926	13254655
1787124881122230205	15892479
1787124881203897121	15679487
1787124881285065875	15679487
1787124881365868301	15761407
1787124881531530255	13639679
1787124881634713334	15908863
1787124881717182527	15646719
1787124881821528884	19873791
1787124881906967828	15810559
1787124882036682930	15720447
1787124882099250844	15826943
1787124882203767398	15171583
1787124882305548604	15171583
1787124882369544739	15089663
1787124882496718777	16424959
1787124882602771112	13705215
1787124882705550077	15081471
1787124882810157485	15384575
1787124882913785382	16621567
1787124883000101597	16621567
1787124883103496533	16728063
1787124883233848021	12804095
1787124883335454949	15654911
1787124883425604120	16130047
1787124883526732178	15663103
1787124883632199012	14548991
1787124883714494984	16277503
1787124883817518276	20447231
1787124883906296144	15523839
1787124884008652770	15695871
1787124884090687251	20332543
1787124884214692799	15638527
1787124884297551207	15695871
1787124884378413200	14245887
1787124884540123353	15884287
1787124884641867330	15835135
1787124884683680356	14254079
1787124884804873133	13492223
1787124884886952821	14360575
1787124884977284484	16121855
1787124885060726946	14385151
1787124885163510840	16015359
1787124885284927791	14508031
1787124885345564202	15851519
1787124885467979728	15572991
1787124885569019387	15917055
1787124885670015763	15728639
1787124885771936918	13869055
1787124885873519795	15515647
1787124885975518334	14090239
1787124886299518537	15990783
1787124886383682581	14434303
1787124886485405244	14393343
1787124886586597237	16162815
1787124886709006445	15843327
1787124886794136273	15949823
1787124886895390112	14663679
1787124886996552617	16162815
1787124887097799265	14696447
1787124887179015740	14229503
1787124887303988219	16179199
1787124887384987779	16293887
1787124887507329389	15040511
1787124887589877014	15106047
1787124887692094717	15187967
1787124887752674457	14508031
1787124887897233421	16383999
1787124887978077236	15933439
1787124888060445219	14524415
1787124888162180007	20840447
1787124888284408645	14368767
1787124888365368160	13017087
1787124888467816187	16130047
1787124888570462734	16121855
1787124888652810499	12558335
1787124888734749358	15917055
1787124888857754519	16875519
1787124888920567064	14368767
1787124889048544913	16007167
1787124889135503926	16990207
1787124889238548545	16113663
1787124889361672308	14270463
1787124889444345269	17170431
1787124889571579077	17301503
1787124889656764222	14499839
