epoch_ns	iso_time	masters	autoscaling	standby	last_scale	sts_desired	sts_ready	cluster_state	cluster_size	known_nodes	slots_ok	slots_fail	action
1787125665581771043	2026-08-19T07:47:45.583601690Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125671229450499	2026-08-19T07:47:51.231269196Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125676868112698	2026-08-19T07:47:56.869775295Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125682513673117	2026-08-19T07:48:02.515540463Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125688156994733	2026-08-19T07:48:08.158703720Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125693798875022	2026-08-19T07:48:13.801008026Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125699438017301	2026-08-19T07:48:19.440191521Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125705085754369	2026-08-19T07:48:25.087560839Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125710727226460	2026-08-19T07:48:30.729055146Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125716372057631	2026-08-19T07:48:36.373877440Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125722010724473	2026-08-19T07:48:42.012508753Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125727657748179	2026-08-19T07:48:47.659580525Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125733304697545	2026-08-19T07:48:53.306504675Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
